,alpha_stems,alpha_lens,beta_stem_lens,beta_hl_lens,beta_lens,gamma_stem_lens,gamma_hl_lens,gamma_lens
0,10,10,8,1,9,10,13,23
1,10,10,8,4,12,10,11,21
2,10,10,8,1,9,10,13,23
3,10,10,8,3,11,8,14,22
4,10,10,8,4,12,10,11,21
5,10,10,8,4,12,10,13,23
6,10,10,8,5,13,10,13,23
7,10,10,8,4,12,10,10,20
8,10,10,8,5,13,10,13,23
9,10,10,8,5,13,10,13,23
10,10,10,8,5,13,10,12,22
11,10,10,8,6,14,10,13,23
12,10,10,8,4,12,10,12,22
13,9,9,8,3,11,10,12,22
14,10,10,8,5,13,10,11,21
15,10,10,8,3,11,10,12,22
16,10,10,8,1,9,10,12,22
17,9,9,8,2,10,10,12,22
18,10,10,8,5,13,10,13,23
19,10,10,8,5,13,10,12,22
20,10,10,8,5,13,10,11,21
21,10,10,7,1,8,10,10,20
22,10,10,8,4,12,10,13,23
23,10,10,8,4,12,10,13,23
24,10,10,8,5,13,10,12,22
25,10,10,8,2,10,10,13,23
26,10,10,8,2,10,10,10,20
27,10,10,8,4,12,10,7,17
28,10,10,8,4,12,10,13,23
29,10,10,8,6,14,10,13,23
30,10,10,8,4,12,10,11,21
31,10,10,8,4,12,10,13,23
32,10,10,8,1,9,10,13,23
33,10,10,8,2,10,10,13,23
34,10,10,8,5,13,10,13,23
35,10,10,8,5,13,10,13,23
36,10,10,8,4,12,10,13,23
37,11,11,8,1,9,10,12,22
38,10,10,7,1,9,10,13,23
39,10,10,6,4,10,10,12,22
40,10,10,8,3,11,10,13,23
41,10,10,7,0,7,10,13,24
42,10,10,8,1,9,10,13,23
43,10,10,8,5,13,10,11,21
44,10,10,4,4,8,10,13,23
45,10,10,8,4,12,10,13,23
46,5,5,8,3,11,10,13,23
47,7,7,8,5,13,10,9,19
48,10,10,8,5,13,10,11,21
49,10,10,8,2,10,10,13,23
50,10,10,7,1,8,10,13,23
51,10,10,8,1,9,10,13,23
52,10,10,8,4,12,10,13,23
53,10,10,8,5,13,10,10,20
54,10,10,6,2,8,10,11,21
55,10,10,8,4,12,10,13,23
56,10,10,8,5,13,10,11,21
57,10,10,8,3,11,10,13,23
58,10,10,8,5,13,10,11,21
59,8,8,8,2,10,10,13,23
60,10,10,8,4,12,10,14,24
61,10,10,8,5,13,10,11,21
62,10,10,8,3,11,10,12,22
63,10,10,8,2,10,10,13,23
64,10,10,8,1,9,10,11,21
65,10,10,8,4,12,10,11,21
66,10,10,8,5,13,10,13,23
67,10,10,8,6,14,7,13,20
68,10,10,8,5,13,10,11,21
69,10,10,8,1,9,10,11,21
70,10,10,8,6,14,10,11,21
71,10,10,8,5,13,10,13,23
72,10,10,8,4,12,10,13,23
73,10,10,8,4,12,10,13,23
74,10,10,8,5,13,10,13,23
75,9,9,8,5,13,10,9,19
76,10,10,8,1,9,10,11,21
77,10,10,8,6,14,10,12,22
78,10,10,8,3,11,10,13,23
79,10,10,8,4,12,10,13,23
80,10,10,8,4,12,2,11,13
81,10,10,8,5,13,10,11,21
82,10,10,7,2,9,10,13,23
83,10,10,8,4,12,10,9,19
84,10,10,8,4,12,10,10,20
85,10,10,8,4,12,10,13,23
86,10,10,8,3,11,10,13,23
87,10,10,8,2,10,10,10,20
88,10,10,8,1,9,10,11,21
89,10,10,8,4,12,10,13,23
90,10,10,8,1,9,9,13,23
91,4,4,7,5,12,10,13,23
92,10,10,8,4,12,10,11,21
93,10,10,8,4,12,10,11,21
94,10,10,8,1,9,10,13,23
95,10,10,8,5,13,10,13,23
96,10,10,8,5,13,8,13,21
97,10,10,8,2,10,10,12,22
98,10,10,8,4,12,10,11,21
99,10,10,8,4,12,10,13,25
